journal_linked_to_issn,issn,type
Behaviour Research and Therapy,0005-7967,print
Behaviour Research and Therapy,1873-622X,online
Child Development,0009-3920,print
Child Development,1467-8624,online
Clinical Psychological Science,2167-7026,print
Clinical Psychological Science,2167-7034,online
Cognition,0010-0277,print
Cognition,1873-7838,online
Collabra: Psychology,2474-7394,print
Collabra: Psychology,2474-7394,online
Developmental Psychology,0012-1649,print
Developmental Psychology,1939-0599,online
Emotion,1528-3542,print
Emotion,1931-1516,online
Journal of Applied Psychology,0021-9010,print
Journal of Applied Psychology,1939-1854,online
Journal of Clinical Child and Adolescent Psychology,1537-4416,print
Journal of Clinical Child and Adolescent Psychology,1537-4424,online
Journal of Consulting and Clinical Psychology,0022-006X,print
Journal of Consulting and Clinical Psychology,1939-2117,online
Journal of Experimental Child Psychology,0022-0965,print
Journal of Experimental Child Psychology,1096-0457,online
Journal of Experimental Psychology: Applied,1076-898X,print
Journal of Experimental Psychology: Applied,1939-2192,online
Journal of Experimental Psychology: General,0096-3445,print
Journal of Experimental Psychology: General,1939-2222,online
Journal of Experimental Psychology: Human Perception and Performance,0096-1523,print
Journal of Experimental Psychology: Human Perception and Performance,1939-1277,online
"Journal of Experimental Psychology: Learning, Memory, and Cognition",0278-7393,print
"Journal of Experimental Psychology: Learning, Memory, and Cognition",1939-1285,online
Journal of Experimental Social Psychology,0022-1031,print
Journal of Experimental Social Psychology,1096-0465,online
Journal of Memory and Language,0749-596X,print
Journal of Memory and Language,1096-0821,online
Journal of Organizational Behavior,0894-3796,print
Journal of Organizational Behavior,1099-1379,online
Journal of Personality and Social Psychology,0022-3514,print
Journal of Personality and Social Psychology,1939-1315,online
Journal of Psychopathology and Clinical Science,0882-2689,print
Journal of Psychopathology and Clinical Science,2160-8725,online
Journal of Research in Personality,0092-6566,print
Journal of Research in Personality,1873-3549,online
Journal of Research on Adolescence,1050-8392,print
Journal of Research on Adolescence,1532-7795,online
Memory & Cognition,0090-502X,print
Memory & Cognition,1532-5946,online
Nature Human Behavior,2397-3374,online
Organizational Behavior and Human Decision Processes,0749-5978,print
Organizational Behavior and Human Decision Processes,1095-9920,online
Personality and Social Psychology Bulletin,0146-1672,print
Personality and Social Psychology Bulletin,1552-7433,online
Personnel Psychology,0031-5826,print
Personnel Psychology,1744-6570,online
PLOS ONE,1932-6203,print
PLOS ONE,1932-6203,online
Psychological Science,0956-7976,print
Psychological Science,1467-9280,online
Psychology and Aging,0882-7974,print
Psychology and Aging,1939-1498,online
