file,n_articles,citations_total
../data/raw/0.jsonl.gz,0,0
../data/raw/1.jsonl.gz,0,0
../data/raw/10.jsonl.gz,18,0
../data/raw/100.jsonl.gz,0,0
../data/raw/1000.jsonl.gz,0,0
../data/raw/10000.jsonl.gz,15,299
../data/raw/10001.jsonl.gz,4,26
../data/raw/10002.jsonl.gz,2,6
../data/raw/10003.jsonl.gz,2,19
../data/raw/10004.jsonl.gz,8,268
../data/raw/10005.jsonl.gz,18,918
../data/raw/10006.jsonl.gz,3,78
../data/raw/10007.jsonl.gz,3,78
../data/raw/10008.jsonl.gz,23,405
../data/raw/10009.jsonl.gz,7,173
../data/raw/1001.jsonl.gz,0,0
../data/raw/10010.jsonl.gz,1,0
../data/raw/10011.jsonl.gz,7,216
../data/raw/10012.jsonl.gz,5,117
../data/raw/10013.jsonl.gz,6,120
../data/raw/10014.jsonl.gz,8,169
../data/raw/10015.jsonl.gz,1,18
../data/raw/10016.jsonl.gz,3,40
../data/raw/10017.jsonl.gz,3,164
../data/raw/10018.jsonl.gz,4,176
../data/raw/10019.jsonl.gz,3,73
../data/raw/1002.jsonl.gz,0,0
../data/raw/10020.jsonl.gz,2,4
../data/raw/10021.jsonl.gz,1,6
../data/raw/10022.jsonl.gz,2,55
../data/raw/10023.jsonl.gz,1,4
../data/raw/10024.jsonl.gz,6,62
../data/raw/10025.jsonl.gz,5,107
../data/raw/10026.jsonl.gz,3,122
../data/raw/10027.jsonl.gz,0,0
../data/raw/10028.jsonl.gz,3,52
../data/raw/10029.jsonl.gz,2,90
../data/raw/1003.jsonl.gz,0,0
../data/raw/10030.jsonl.gz,11,315
../data/raw/10031.jsonl.gz,20,1089
../data/raw/10032.jsonl.gz,5,124
../data/raw/10033.jsonl.gz,5,32
../data/raw/10034.jsonl.gz,14,371
../data/raw/10035.jsonl.gz,4,48
../data/raw/10036.jsonl.gz,6,83
../data/raw/10037.jsonl.gz,5,69
../data/raw/10038.jsonl.gz,1,15
../data/raw/10039.jsonl.gz,3,104
../data/raw/1004.jsonl.gz,0,0
../data/raw/10040.jsonl.gz,18,381
../data/raw/10041.jsonl.gz,22,858
../data/raw/10042.jsonl.gz,32,1811
../data/raw/10043.jsonl.gz,40,1241
../data/raw/10044.jsonl.gz,24,768
../data/raw/10045.jsonl.gz,29,690
../data/raw/10046.jsonl.gz,18,404
../data/raw/10047.jsonl.gz,10,164
../data/raw/10048.jsonl.gz,11,162
../data/raw/10049.jsonl.gz,24,554
../data/raw/1005.jsonl.gz,0,0
../data/raw/10050.jsonl.gz,9,137
../data/raw/10051.jsonl.gz,10,176
../data/raw/10052.jsonl.gz,16,248
../data/raw/10053.jsonl.gz,2,10
../data/raw/10054.jsonl.gz,12,230
../data/raw/10055.jsonl.gz,13,232
../data/raw/10056.jsonl.gz,12,214
../data/raw/10057.jsonl.gz,7,110
../data/raw/10058.jsonl.gz,6,88
../data/raw/10059.jsonl.gz,15,431
../data/raw/1006.jsonl.gz,0,0
../data/raw/10060.jsonl.gz,24,363
../data/raw/10061.jsonl.gz,35,723
../data/raw/10062.jsonl.gz,19,1075
../data/raw/10063.jsonl.gz,37,865
../data/raw/10064.jsonl.gz,15,149
../data/raw/10065.jsonl.gz,31,953
../data/raw/10066.jsonl.gz,5,67
../data/raw/10067.jsonl.gz,2,20
../data/raw/10068.jsonl.gz,1,8
../data/raw/10069.jsonl.gz,0,0
../data/raw/1007.jsonl.gz,0,0
../data/raw/10070.jsonl.gz,0,0
../data/raw/10071.jsonl.gz,0,0
../data/raw/10072.jsonl.gz,0,0
../data/raw/10073.jsonl.gz,0,0
../data/raw/10074.jsonl.gz,0,0
../data/raw/10075.jsonl.gz,1,13
../data/raw/10076.jsonl.gz,2,20
../data/raw/10077.jsonl.gz,3,48
../data/raw/10078.jsonl.gz,1,10
../data/raw/10079.jsonl.gz,0,0
../data/raw/1008.jsonl.gz,0,0
../data/raw/10080.jsonl.gz,0,0
../data/raw/10081.jsonl.gz,0,0
../data/raw/10082.jsonl.gz,1,29
../data/raw/10083.jsonl.gz,0,0
../data/raw/10084.jsonl.gz,0,0
../data/raw/10085.jsonl.gz,0,0
../data/raw/10086.jsonl.gz,0,0
../data/raw/10087.jsonl.gz,2,17
../data/raw/10088.jsonl.gz,5,119
../data/raw/10089.jsonl.gz,13,529
../data/raw/1009.jsonl.gz,0,0
../data/raw/10090.jsonl.gz,5,94
../data/raw/10091.jsonl.gz,9,326
../data/raw/10092.jsonl.gz,13,334
../data/raw/10093.jsonl.gz,8,222
../data/raw/10094.jsonl.gz,14,381
../data/raw/10095.jsonl.gz,6,106
../data/raw/10096.jsonl.gz,2,66
../data/raw/10097.jsonl.gz,0,0
../data/raw/10098.jsonl.gz,2,0
../data/raw/10099.jsonl.gz,0,0
../data/raw/101.jsonl.gz,1,0
../data/raw/1010.jsonl.gz,0,0
../data/raw/10100.jsonl.gz,0,0
../data/raw/10101.jsonl.gz,0,0
../data/raw/10102.jsonl.gz,0,0
../data/raw/10103.jsonl.gz,1,12
../data/raw/10104.jsonl.gz,3,181
../data/raw/10105.jsonl.gz,3,48
../data/raw/10106.jsonl.gz,16,674
../data/raw/10107.jsonl.gz,3,30
../data/raw/10108.jsonl.gz,2,58
../data/raw/10109.jsonl.gz,9,200
../data/raw/1011.jsonl.gz,0,0
../data/raw/10110.jsonl.gz,3,60
../data/raw/10111.jsonl.gz,0,0
../data/raw/10112.jsonl.gz,11,241
../data/raw/10113.jsonl.gz,0,0
../data/raw/10114.jsonl.gz,9,169
../data/raw/10115.jsonl.gz,4,81
../data/raw/10116.jsonl.gz,4,48
../data/raw/10117.jsonl.gz,5,60
../data/raw/10118.jsonl.gz,0,0
../data/raw/10119.jsonl.gz,8,90
../data/raw/1012.jsonl.gz,0,0
../data/raw/10120.jsonl.gz,7,310
../data/raw/10121.jsonl.gz,1,6
../data/raw/10122.jsonl.gz,1,28
../data/raw/10123.jsonl.gz,2,26
../data/raw/10124.jsonl.gz,3,37
../data/raw/10125.jsonl.gz,2,18
../data/raw/10126.jsonl.gz,10,248
../data/raw/10127.jsonl.gz,0,0
../data/raw/10128.jsonl.gz,0,0
../data/raw/10129.jsonl.gz,2,18
../data/raw/1013.jsonl.gz,0,0
../data/raw/10130.jsonl.gz,6,84
../data/raw/10131.jsonl.gz,3,30
../data/raw/10132.jsonl.gz,12,214
../data/raw/10133.jsonl.gz,3,237
../data/raw/10134.jsonl.gz,3,88
../data/raw/10135.jsonl.gz,1,6
../data/raw/10136.jsonl.gz,0,0
../data/raw/10137.jsonl.gz,2,36
../data/raw/10138.jsonl.gz,1,12
../data/raw/10139.jsonl.gz,0,0
../data/raw/1014.jsonl.gz,0,0
../data/raw/10140.jsonl.gz,1,20
../data/raw/10141.jsonl.gz,1,4
../data/raw/10142.jsonl.gz,0,0
../data/raw/10143.jsonl.gz,2,24
../data/raw/10144.jsonl.gz,6,242
../data/raw/10145.jsonl.gz,2,84
../data/raw/10146.jsonl.gz,0,0
../data/raw/10147.jsonl.gz,1,26
../data/raw/10148.jsonl.gz,1,10
../data/raw/10149.jsonl.gz,2,10
../data/raw/1015.jsonl.gz,0,0
../data/raw/10150.jsonl.gz,3,94
../data/raw/10151.jsonl.gz,3,130
../data/raw/10152.jsonl.gz,1,4
../data/raw/10153.jsonl.gz,0,0
../data/raw/10154.jsonl.gz,1,42
../data/raw/10155.jsonl.gz,0,0
../data/raw/10156.jsonl.gz,6,118
../data/raw/10157.jsonl.gz,0,0
../data/raw/10158.jsonl.gz,5,108
../data/raw/10159.jsonl.gz,4,69
../data/raw/1016.jsonl.gz,0,0
../data/raw/10160.jsonl.gz,2,46
../data/raw/10161.jsonl.gz,1,8
../data/raw/10162.jsonl.gz,1,28
../data/raw/10163.jsonl.gz,0,0
../data/raw/10164.jsonl.gz,0,0
../data/raw/10165.jsonl.gz,2,150
../data/raw/10166.jsonl.gz,15,444
../data/raw/10167.jsonl.gz,15,251
../data/raw/10168.jsonl.gz,5,154
../data/raw/10169.jsonl.gz,8,132
../data/raw/1017.jsonl.gz,0,0
../data/raw/10170.jsonl.gz,7,170
../data/raw/10171.jsonl.gz,17,330
../data/raw/10172.jsonl.gz,4,74
../data/raw/10173.jsonl.gz,13,320
../data/raw/10174.jsonl.gz,5,102
../data/raw/10175.jsonl.gz,27,885
../data/raw/10176.jsonl.gz,15,643
../data/raw/10177.jsonl.gz,1,9
../data/raw/10178.jsonl.gz,1,1
../data/raw/10179.jsonl.gz,1,6
../data/raw/1018.jsonl.gz,0,0
../data/raw/10180.jsonl.gz,1,20
../data/raw/10181.jsonl.gz,21,468
../data/raw/10182.jsonl.gz,9,174
../data/raw/10183.jsonl.gz,10,290
../data/raw/10184.jsonl.gz,10,484
../data/raw/10185.jsonl.gz,5,82
../data/raw/10186.jsonl.gz,23,688
../data/raw/10187.jsonl.gz,16,314
../data/raw/10188.jsonl.gz,19,331
../data/raw/10189.jsonl.gz,13,327
../data/raw/1019.jsonl.gz,0,0
../data/raw/10190.jsonl.gz,20,308
../data/raw/10191.jsonl.gz,9,144
../data/raw/10192.jsonl.gz,14,252
../data/raw/10193.jsonl.gz,5,35
../data/raw/10194.jsonl.gz,4,16
../data/raw/10195.jsonl.gz,12,253
../data/raw/10196.jsonl.gz,6,37
../data/raw/10197.jsonl.gz,1,8
../data/raw/10198.jsonl.gz,12,238
../data/raw/10199.jsonl.gz,15,258
