ISSN,DOI,authors,year,title,journal,URL,citations,year_for_citations_by_year,citations_per_year,more_than_30_citations_per_year,psych_study_on_human_participants
1932-6203,10.1371/journal.pone.0182004,Currylow; Mandimbihasina; Gibbons; Bekarany; Stanford; Louis; Crocker,2017,Comparative ecophysiology of a critically endangered (CR) ectotherm: Implications for conservation management,PLoS ONE,https://doi.org/10.1371/journal.pone.0182004,8,2017,1,FALSE,FALSE
1932-6203,10.1371/journal.pone.0189783,Li; Wagner; Freer; Schilling; Bannantine; Campo; Katani; Grohn; Radzio-Basu; Kapur,2017,Early detection of Mycobacterium avium subsp. paratuberculosis infection in cattle with multiplex-bead based immunoassays,PLoS ONE,https://doi.org/10.1371/journal.pone.0189783,14,2017,1.75,FALSE,FALSE
1932-6203,10.1371/journal.pone.0145928,Li; Lv; Song; Zhang; Gao; Li; Liu,2016,Production and Identification of Wheat-Agropyron cristatum 2P Translocation Lines,PLoS ONE,https://doi.org/10.1371/journal.pone.0145928,29,2016,3.22,FALSE,FALSE
1932-6203,10.1371/journal.pone.0170689,Silva; Reis-Cunha; Bartholomeu; Vítor,2017,"Genetic Polymorphisms and Phenotypic Profiles of Sulfadiazine-Resistant and Sensitive Toxoplasma gondii Isolates Obtained from Newborns with Congenital Toxoplasmosis in Minas Gerais, Brazil",PLoS ONE,https://doi.org/10.1371/journal.pone.0170689,21,2017,2.63,FALSE,FALSE
1932-6203,10.1371/journal.pone.0197597,Morán; Soriano,2018,Improving the quality of a collective signal in a consumer EEG headset,PLoS ONE,https://doi.org/10.1371/journal.pone.0197597,9,2018,1.29,FALSE,FALSE
1932-6203,10.1371/journal.pone.0183267,Yu; Torzewska; Zhang; Yin; Drzewiecka; Cao; Liu; Knirel; Rozalski; Wang,2017,Genetic diversity of the O antigens of Proteus species and the development of a suspension array for molecular serotyping,PLoS ONE,https://doi.org/10.1371/journal.pone.0183267,25,2017,3.13,FALSE,FALSE
1932-6203,10.1371/journal.pone.0143985,NA,2015,Correction: Brands and Inhibition: A Go/No-Go Task Reveals the Power of Brand Influence,PLoS ONE,https://doi.org/10.1371/journal.pone.0143985,0,2015,0,FALSE,FALSE
1932-6203,10.1371/journal.pone.0311759,Lubis; Linkie; Lee,2024,"Tropical forest cover, oil palm plantations, and precipitation drive flooding events in Aceh, Indonesia, and hit the poorest people hardest",PLoS ONE,https://doi.org/10.1371/journal.pone.0311759,0,2024,0,FALSE,FALSE
1932-6203,10.1371/journal.pone.0084196,Goltz; Pleger; Thiel; Villringer; Müller,2013,Sustained Spatial Attention to Vibrotactile Stimulation in the Flutter Range: Relevant Brain Regions and Their Interaction,PLoS ONE,https://doi.org/10.1371/journal.pone.0084196,14,2013,1.17,FALSE,FALSE
1932-6203,10.1371/journal.pone.0004598,Seberg; Petersen,2009,How Many Loci Does it Take to DNA Barcode a Crocus?,PLoS ONE,https://doi.org/10.1371/journal.pone.0004598,116,2009,7.25,FALSE,FALSE
1932-6203,10.1371/journal.pone.0011671,Devignot; Sapet; Duong; Bergon; Rihet; Ong; Lorn; Chroeung; Ngeav; Tolou; Buchy; Couissinier-Paris,2010,Genome-Wide Expression Profiling Deciphers Host Responses Altered during Dengue Shock Syndrome and Reveals the Role of Innate Immunity in Severe Dengue,PLoS ONE,https://doi.org/10.1371/journal.pone.0011671,0,2010,0,FALSE,FALSE
1932-6203,10.1371/journal.pone.0063388,Endo; Niioka; Kobayashi; Tanaka; Watanabe,2013,Butyrate-Producing Probiotics Reduce Nonalcoholic Fatty Liver Disease Progression in Rats: New Insight into the Probiotics for the Gut-Liver Axis,PLoS ONE,https://doi.org/10.1371/journal.pone.0063388,270,2013,22.5,FALSE,FALSE
1932-6203,10.1371/journal.pone.0229950,Li; Yang; Sun,2020,Alpha rhythm slowing in a modified thalamo-cortico-thalamic model related with Alzheimer’s disease,PLoS ONE,https://doi.org/10.1371/journal.pone.0229950,22,2020,4.4,FALSE,FALSE
1932-6203,10.1371/journal.pone.0086974,Thornton; Bülthoff; Horowitz; Rynning; Lee,2014,Interactive Multiple Object Tracking (iMOT),PLoS ONE,https://doi.org/10.1371/journal.pone.0086974,17,2014,1.55,FALSE,FALSE
1932-6203,10.1371/journal.pone.0013988,Karkey; Arjyal; Anders; Boni; Dongol; Koirala; My; Nga; Clements; Holt; Duy; Day; Campbell; Dougan; Dolecek; Farrar; Basnyat; Baker,2010,The Burden and Characteristics of Enteric Fever at a Healthcare Facility in a Densely Populated Area of Kathmandu,PLoS ONE,https://doi.org/10.1371/journal.pone.0013988,51,2010,3.4,FALSE,FALSE
1932-6203,10.1371/journal.pone.0139958,Tewawong; Prachayangprecha; Vichiwattana; Korkong; Klinfueng; Vongpunsawad; Thongmee; Theamboonlers; Poovorawan,2015,Assessing Antigenic Drift of Seasonal Influenza A(H3N2) and A(H1N1)pdm09 Viruses,PLoS ONE,https://doi.org/10.1371/journal.pone.0139958,60,2015,6,FALSE,FALSE
1932-6203,10.1371/journal.pone.0032022,Lin; Lee,2012,Presenting the Uncertainties of Odds Ratios Using Empirical-Bayes Prediction Intervals,PLoS ONE,https://doi.org/10.1371/journal.pone.0032022,0,2012,0,FALSE,FALSE
1932-6203,10.1371/journal.pone.0006154,Jubault; Monetta; Strafella; Lafontaine; Monchi,2009,L-Dopa Medication in Parkinson's Disease Restores Activity in the Motor Cortico-Striatal Loop but Does Not Modify the Cognitive Network,PLoS ONE,https://doi.org/10.1371/journal.pone.0006154,44,2009,2.75,FALSE,FALSE
1932-6203,10.1371/journal.pone.0104557,Yirdaw; Jerene; Gashu; Edginton; Kumar; Letamo; Feleke; Teklu; Zewdu; Weiss; Ruff,2014,Beneficial Effect of Isoniazid Preventive Therapy and Antiretroviral Therapy on the Incidence of Tuberculosis in People Living with HIV in Ethiopia,PLoS ONE,https://doi.org/10.1371/journal.pone.0104557,50,2014,4.55,FALSE,FALSE
1932-6203,10.1371/journal.pone.0143674,Scott; Falkmer; Girdler; Falkmer,2015,Correction: Viewpoints on Factors for Successful Employment for Adults with Autism Spectrum Disorder,PLoS ONE,https://doi.org/10.1371/journal.pone.0143674,16,2015,1.6,FALSE,FALSE
1932-6203,10.1371/journal.pone.0003900,Malone; Fontenot,2008,Patterns of Reproductive Isolation in Toads,PLoS ONE,https://doi.org/10.1371/journal.pone.0003900,83,2008,4.88,FALSE,FALSE
1932-6203,10.1371/journal.pone.0170880,Spoerry; Hessle; Lewis; Paton; Woof; Pawel-Rammingen,2017,Correction: Novel IgG-Degrading Enzymes of the IgdE Protease Family Link Substrate Specificity to Host Tropism of Streptococcus Species,PLoS ONE,https://doi.org/10.1371/journal.pone.0170880,1,2017,0.13,FALSE,FALSE
1932-6203,10.1371/journal.pone.0133909,Cho; Woo; Jang; Porter; Christensen; Hamilton; Chung,2015,The Association of LINE-1 Hypomethylation with Age and Centromere Positive Micronuclei in Human Lymphocytes,PLoS ONE,https://doi.org/10.1371/journal.pone.0133909,25,2015,2.5,FALSE,FALSE
1932-6203,10.1371/journal.pone.0259921,Leppi; Rinella; Wipfli; Brown; Spaleta; Whitman,2022,"Strontium isotopes reveal diverse life history variations, migration patterns, and habitat use for Broad Whitefish (Coregonus nasus) in Arctic, Alaska",PLoS ONE,https://doi.org/10.1371/journal.pone.0259921,2,2022,0.67,FALSE,FALSE
1932-6203,10.1371/journal.pone.0243536,Ngoie; Dybvik; Hallan; Gjertsen; Mkandawire; Varela; Young,2021,"Prevalence, causes and impact of musculoskeletal impairment in Malawi: A national cluster randomized survey",PLoS ONE,https://doi.org/10.1371/journal.pone.0243536,6,2021,1.5,FALSE,FALSE
1932-6203,10.1371/journal.pone.0043424,Zang; Martinez; Yao; Maass; Ma; Wolf; Minei,2012,Sepsis-Induced Cardiac Mitochondrial Dysfunction Involves Altered Mitochondrial-Localization of Tyrosine Kinase Src and Tyrosine Phosphatase SHP2,PLoS ONE,https://doi.org/10.1371/journal.pone.0043424,32,2012,2.46,FALSE,FALSE
1932-6203,10.1371/journal.pone.0129892,McNamara; Gregg; Oakley; Stott; Rahman; Murrell; Wardle; Bardgett; Ostle,2015,Soil Methane Sink Capacity Response to a Long-Term Wildfire Chronosequence in Northern Sweden,PLoS ONE,https://doi.org/10.1371/journal.pone.0129892,12,2015,1.2,FALSE,FALSE
1932-6203,10.1371/journal.pone.0255013,Lee; Juarez; Rae; Jones; Rodriguez; Davis; Boysen-Osborn; Kashima; Krane; Kman; Langsfeld; Harries,2021,"Anxiety, PTSD, and stressors in medical students during the initial peak of the COVID-19 pandemic",PLoS ONE,https://doi.org/10.1371/journal.pone.0255013,29,2021,7.25,FALSE,TRUE
1932-6203,10.1371/journal.pone.0047848,Bertulat; De Bonis; Della Ragione; Lehmkuhl; Milden; Storm; Jost; Scala; Hendrich; D’Esposito; Cardoso,2012,MeCP2 Dependent Heterochromatin Reorganization during Neural Differentiation of a Novel Mecp2-Deficient Embryonic Stem Cell Reporter Line,PLoS ONE,https://doi.org/10.1371/journal.pone.0047848,32,2012,2.46,FALSE,FALSE
1932-6203,10.1371/journal.pone.0095488,Telschow; Hilgenboecker; Hammerstein; Werren,2014,Dobzhansky-Muller and Wolbachia-Induced Incompatibilities in a Diploid Genetic System,PLoS ONE,https://doi.org/10.1371/journal.pone.0095488,13,2014,1.18,FALSE,FALSE
1932-6203,10.1371/journal.pone.0293408,Ito; Sugiura; Ito; Narahara; Natsume; Takahashi; Noritake; Yamazaki; Sakai; Ochi,2023,Relationship between low-back pain and flexibility in children: A cross-sectional study,PLoS ONE,https://doi.org/10.1371/journal.pone.0293408,1,2023,0.5,FALSE,FALSE
1932-6203,10.1371/journal.pone.0258183,Thein; Herberholz; Sandar; Yadanar,2021,"Caring for persons with drug use disorders in the Yangon Region, Myanmar: Socioeconomic and psychological burden, coping strategies and barriers to coping",PLoS ONE,https://doi.org/10.1371/journal.pone.0258183,4,2021,1,FALSE,TRUE
1932-6203,10.1371/journal.pone.0163353,Yang; Elnitski,2016,A Systems Biology Comparison of Ovarian Cancers Implicates Putative Somatic Driver Mutations through Protein-Protein Interaction Models,PLoS ONE,https://doi.org/10.1371/journal.pone.0163353,6,2016,0.67,FALSE,FALSE
1932-6203,10.1371/journal.pone.0218441,Ndungu; Thungu; Wamwiri; Mireji; Ngae; Gitonga; Mulinge; Auma; Thuita,2019,Route of inoculation influences Trypanosoma congolense and Trypanosoma brucei brucei virulence in Swiss white mice,PLoS ONE,https://doi.org/10.1371/journal.pone.0218441,8,2019,1.33,FALSE,FALSE
1932-6203,10.1371/journal.pone.0003550,Bragg; Chisholm,2008,Modeling the Fitness Consequences of a Cyanophage-Encoded Photosynthesis Gene,PLoS ONE,https://doi.org/10.1371/journal.pone.0003550,80,2008,4.71,FALSE,FALSE
