journal,n,min_year,max_year,years,percent_sampled
PLoS ONE,308814,2007,2025,19,0.006
Developmental Psychology,4439,2007,2025,19,0.428
Cognition,4286,2007,2025,19,0.443
Psychological Science,3642,2007,2025,19,0.522
Journal of Personality and Social Psychology,3375,2007,2025,19,0.563
Emotion,3305,2007,2025,19,0.575
Journal of Experimental Psychology: General,3141,2007,2025,19,0.605
Child Development,3098,2007,2025,19,0.613
Journal of Experimental Child Psychology,2989,2007,2025,19,0.636
"Journal of Experimental Psychology: Learning, Memory, and Cognition",2908,2007,2025,19,0.653
Journal of Experimental Psychology: Human Perception and Performance,2809,2007,2025,19,0.676
Behaviour Research and Therapy,2800,2007,2025,19,0.679
Journal of Experimental Social Psychology,2758,2007,2025,19,0.689
Personality and Social Psychology Bulletin,2424,2007,2025,19,0.784
Journal of Applied Psychology,2246,2007,2025,19,0.846
Journal of Consulting and Clinical Psychology,2211,2007,2025,19,0.859
Memory and Cognition,2204,2007,2025,19,0.862
Psychology and Aging,2116,2007,2025,19,0.898
Nature Human Behaviour,2068,2016,2025,10,0.484
Journal of Research in Personality,1884,2007,2025,19,1.008
Journal of Clinical Child and Adolescent Psychology,1472,2007,2025,19,1.291
Journal of Organizational Behavior,1360,2007,2025,19,1.397
Journal of Research on Adolescence,1342,2007,2025,19,1.416
Journal of Memory and Language,1308,2007,2025,19,1.453
Journal of Psychopathology and Behavioral Assessment,1163,2007,2025,19,1.634
Organizational Behavior and Human Decision Processes,1154,2007,2025,19,1.646
Personnel Psychology,1011,2007,2025,19,1.879
Clinical Psychological Science,966,2013,2025,13,1.346
Journal of Experimental Psychology: Applied,904,2007,2025,19,2.102
Collabra: Psychology,568,2017,2025,9,1.585
