label,outcome,prevalence_estimate,prevalence_interval,prevalence_category,trend_estimate,trend_interval,trend_category
Collabra,Direct Behavioral,0.04,"0.01, 0.11",Rare,0.00,"-0.01, 0.02",No trend detected
Collabra,Behavioral Proxy,0.08,"0.03, 0.17",Uncommon,-0.01,"-0.02, 0.00",No trend detected
Collabra,Self-Report about Behavior,0.06,"0.02, 0.13",Uncommon,0.01,"-0.00, 0.02",No trend detected
Collabra,Self-Report about Subjective States,0.99,"0.96, 1.00",Frequent,0.00,"-0.00, 0.00",No trend detected
Collabra,Neuro/Bio/Psychophys,0.28,"0.18, 0.40",Common,0.02,"-0.00, 0.05",No trend detected
Collabra,Cognitive Ability,0.06,"0.02, 0.12",Uncommon,0.00,"-0.01, 0.02",No trend detected
JEP:G,Direct Behavioral,0.01,"0.00, 0.03",Rare,0.00,"-0.00, 0.01",No trend detected
JEP:G,Behavioral Proxy,0.10,"0.04, 0.19",Uncommon,-0.01,"-0.02, 0.01",No trend detected
JEP:G,Self-Report about Behavior,0.08,"0.03, 0.18",Uncommon,-0.04,"-0.06, -0.02",Decreasing
JEP:G,Self-Report about Subjective States,0.99,"0.96, 1.00",Frequent,0.00,"-0.00, 0.00",No trend detected
JEP:G,Neuro/Bio/Psychophys,0.19,"0.11, 0.30",Occasional,0.00,"-0.02, 0.03",No trend detected
JEP:G,Cognitive Ability,0.05,"0.02, 0.11",Rare,-0.00,"-0.01, 0.01",No trend detected
NHB,Direct Behavioral,0.00,"0.00, 0.02",Rare,-0.00,"-0.01, -0.00",Decreasing
NHB,Behavioral Proxy,0.04,"0.01, 0.10",Rare,-0.01,"-0.02, -0.00",Decreasing
NHB,Self-Report about Behavior,0.01,"0.00, 0.04",Rare,0.00,"-0.00, 0.01",No trend detected
NHB,Self-Report about Subjective States,0.88,"0.81, 0.94",Frequent,-0.00,"-0.03, 0.01",No trend detected
NHB,Neuro/Bio/Psychophys,0.13,"0.07, 0.21",Occasional,0.02,"0.00, 0.04",Increasing
NHB,Cognitive Ability,0.02,"0.00, 0.07",Rare,-0.01,"-0.02, -0.00",Decreasing
PLOSONE,Direct Behavioral,0.00,"0.00, 0.02",Rare,0.00,"-0.00, 0.00",No trend detected
PLOSONE,Behavioral Proxy,0.01,"0.00, 0.05",Rare,-0.00,"-0.00, 0.00",No trend detected
PLOSONE,Self-Report about Behavior,0.02,"0.00, 0.07",Rare,-0.01,"-0.02, -0.00",Decreasing
PLOSONE,Self-Report about Subjective States,0.96,"0.90, 0.99",Frequent,0.00,"-0.00, 0.01",No trend detected
PLOSONE,Neuro/Bio/Psychophys,0.19,"0.11, 0.29",Occasional,0.03,"0.00, 0.05",Increasing
PLOSONE,Cognitive Ability,0.10,"0.04, 0.19",Occasional,0.03,"0.01, 0.05",Increasing
PS,Direct Behavioral,0.01,"0.00, 0.04",Rare,0.00,"0.00, 0.01",Increasing
PS,Behavioral Proxy,0.05,"0.02, 0.11",Uncommon,-0.01,"-0.02, 0.00",No trend detected
PS,Self-Report about Behavior,0.04,"0.01, 0.09",Rare,-0.01,"-0.02, -0.00",Decreasing
PS,Self-Report about Subjective States,0.99,"0.96, 1.00",Frequent,0.00,"-0.00, 0.00",No trend detected
PS,Neuro/Bio/Psychophys,0.07,"0.03, 0.13",Uncommon,-0.00,"-0.01, 0.01",No trend detected
PS,Cognitive Ability,0.01,"0.00, 0.04",Rare,0.00,"-0.00, 0.01",No trend detected
BRAT,Direct Behavioral,0.04,"0.01, 0.10",Rare,-0.00,"-0.01, 0.01",No trend detected
BRAT,Behavioral Proxy,0.29,"0.19, 0.40",Common,0.04,"0.01, 0.06",Increasing
BRAT,Self-Report about Behavior,0.11,"0.06, 0.19",Occasional,0.00,"-0.01, 0.02",No trend detected
BRAT,Self-Report about Subjective States,0.95,"0.89, 0.98",Frequent,0.00,"-0.00, 0.01",No trend detected
BRAT,Neuro/Bio/Psychophys,0.16,"0.09, 0.25",Occasional,0.02,"0.00, 0.04",Increasing
BRAT,Cognitive Ability,0.01,"0.00, 0.04",Rare,0.00,"-0.00, 0.01",No trend detected
CPS,Direct Behavioral,0.01,"0.00, 0.03",Rare,-0.00,"-0.00, 0.00",No trend detected
CPS,Behavioral Proxy,0.05,"0.02, 0.11",Rare,0.00,"-0.00, 0.01",No trend detected
CPS,Self-Report about Behavior,0.05,"0.01, 0.11",Rare,0.01,"0.00, 0.02",Increasing
CPS,Self-Report about Subjective States,0.98,"0.94, 1.00",Frequent,0.00,"-0.00, 0.00",No trend detected
CPS,Neuro/Bio/Psychophys,0.17,"0.09, 0.26",Occasional,0.01,"0.00, 0.03",Increasing
CPS,Cognitive Ability,0.11,"0.05, 0.19",Occasional,0.00,"-0.01, 0.01",No trend detected
JCCAP,Direct Behavioral,0.01,"0.00, 0.05",Rare,0.01,"0.00, 0.02",Increasing
JCCAP,Behavioral Proxy,0.04,"0.01, 0.11",Rare,0.01,"0.00, 0.02",Increasing
JCCAP,Self-Report about Behavior,0.06,"0.03, 0.13",Uncommon,0.00,"-0.01, 0.01",No trend detected
JCCAP,Self-Report about Subjective States,0.98,"0.94, 1.00",Frequent,0.00,"-0.00, 0.01",No trend detected
JCCAP,Neuro/Bio/Psychophys,0.04,"0.01, 0.10",Rare,0.01,"0.00, 0.01",Increasing
JCCAP,Cognitive Ability,0.03,"0.00, 0.08",Rare,0.01,"0.00, 0.01",Increasing
JCCP,Direct Behavioral,0.00,"0.00, 0.02",Rare,-0.00,"-0.00, 0.00",No trend detected
JCCP,Behavioral Proxy,0.04,"0.01, 0.10",Rare,0.01,"0.00, 0.02",Increasing
JCCP,Self-Report about Behavior,0.02,"0.00, 0.06",Rare,0.00,"-0.01, 0.01",No trend detected
JCCP,Self-Report about Subjective States,0.78,"0.66, 0.87",Frequent,0.00,"-0.02, 0.02",No trend detected
JCCP,Neuro/Bio/Psychophys,0.05,"0.01, 0.12",Uncommon,0.01,"0.00, 0.02",Increasing
JCCP,Cognitive Ability,0.04,"0.01, 0.11",Rare,0.01,"-0.00, 0.02",No trend detected
JPCS,Direct Behavioral,0.01,"0.00, 0.03",Rare,-0.00,"-0.00, 0.00",No trend detected
